"method","path","source","generic_auth_middleware","generic_idempotency_middleware","openapi_literal_or_parameter_match"
"GET","/v1/mathos/public-key","api/src/routes/mathos.ts:88","","","false"
"GET","/v1/mathos/self-test","api/src/routes/mathos.ts:135","","","false"
"POST","/v1/mathos/verify","api/src/routes/mathos.ts:177","","","false"
"POST","/v1/mathos/register","api/src/routes/mathos.ts:289","","","false"
"GET","/v1/mathos/catalog","api/src/routes/mathos.ts:737","","","false"
"GET","/v1/mathos","api/src/routes/mathos.ts:745","","","false"
"GET","/v1/platform","api/src/routes/platform.ts:36","","","false"
"GET","/v1/platform/wake","api/src/routes/platform.ts:109","","","false"
"GET","/v1/self","api/src/routes/self.ts:53","","","true"
"GET","/v1/canon","api/src/routes/canon.ts:96","","","false"
"GET","/v1/canon/types","api/src/routes/canon.ts:188","","","false"
"GET","/v1/canon/by-type/:type","api/src/routes/canon.ts:198","","","false"
"GET","/v1/canon/:urn/neighbors","api/src/routes/canon.ts:221","","","false"
"GET","/v1/canon/:urn","api/src/routes/canon.ts:251","","","false"
"GET","/v1/polymorph","api/src/routes/polymorph.ts:112","","","false"
"GET","/v1/memetic-landscape","api/src/routes/memetic-landscape.ts:65","","","false"
"GET","/v1/heartbeat","api/src/routes/heartbeat.ts:26","","","false"
"GET","/v1/youspeak","api/src/routes/youspeak.ts:52","","","false"
"GET","/v1/youspeak/llms.txt","api/src/routes/youspeak.ts:71","","","false"
"GET","/v1/youspeak/morphemes","api/src/routes/youspeak.ts:93","","","false"
"GET","/v1/youspeak/morphemes/:latin","api/src/routes/youspeak.ts:125","","","false"
"GET","/v1/youspeak/glyphs/:name","api/src/routes/youspeak.ts:157","","","false"
"GET","/v1/youspeak/canon","api/src/routes/youspeak.ts:184","","","false"
"GET","/v1/youspeak/canon/:word","api/src/routes/youspeak.ts:210","","","false"
"GET","/v1/youspeak/transliterate","api/src/routes/youspeak.ts:253","","","false"
"GET","/v1/youspeak/font.otf","api/src/routes/youspeak.ts:285","","","false"
"GET","/v1/youspeak/font.ttf","api/src/routes/youspeak.ts:291","","","false"
"GET","/v1/youspeak/docs","api/src/routes/youspeak.ts:299","","","false"
"GET","/v1/youspeak/joke","api/src/routes/youspeak.ts:345","","","false"
"GET","/v1/youspeak/docs/:name","api/src/routes/youspeak.ts:358","","","false"
"GET","/v1/aletheia","api/src/routes/aletheia.ts:58","","","false"
"POST","/v1/aletheia/uncompress","api/src/routes/aletheia.ts:105","","","false"
